title,link,type,text
$3.5 billion Schuylkill Yards breaks ground on future park,https://philly.curbed.com/2017/11/8/16622906/schuylkill-yards-groundbreaking,article,"It’s really happening: Drexel University and Brandywine Realty Trust just broke ground on their ambitious $3.5 billion Schuylkill Yards project, about 18 months after they first announced their plans to transform 14 acres in University City into a leading innovation hub. “At its core, Schuylkill Yards is centered around interaction, a place that encourages living, walking, collaboration, and fun,” said Brandywine Realty Trust’s CEO Jerry Sweeney. “What better way to embrace those ideas than by creating a park?”The groundbreaking took place Wednesday morning at 3001 Market Street, which will be the site of the future 1.3-acre Drexel Square, an elliptical park designed by Shop Architects and West 8. The green space will replace what’s currently a parking lot across the street from 30th Street Station. Sweeney described the park as a both a “launching pad” and “centerpiece” for the innovation-driven neighborhood. Along with a more than 12,000-square-foot elliptical green lawn, there will be custom-made granite benches, outdoor furniture, lighting, and raised planter beds filled with shrubs and perennials. But perhaps the most striking feature will be the 30 soaring Dawn Redwood trees, which will be planted at more than 25 feet tall. The park will open in fall 2018. In total, there are 6.5 acres of planned green space and street improvements throughout Schuylkill Yards. Of course, the park just the start of Schuylkill Yards. The mega-development’s 15- to 20-year master plan calls for the buildout of new towers, totaling 6.9 million square feet in new construction. Currently, city approvals are in place for 1.3 million square feet of new development and the revamp of the Bulletin Building. The first phase will include the buildout of the park, as well as 4.6 acres of residential, office, research, and retail development. Sweeney said that early next year, amid the park construction, the team will begin the revamp of the Bulletin Building and begin plans for the mixed-use towers. The ceremonial construction start also happens to come just weeks after Philly submitted its proposal to bring Amazon’s second headquarters here. The city’s pitch included Schuylkill Yards as one of the three potential sites where the e-commerce giant could build its $5 billion headquarters. “If we are lucky,” said Drexel University president John Fry, “Drexel Square may one day soon be a gathering spot for thousands and thousands of Amazon employees.”"
"Design committee OKs Schuylkill River towers, West Philly transit-oriented project",https://philly.curbed.com/2017/11/8/16618724/civic-design-review-recap-river-walk-towers-new-market-west,article,"At Tuesday’s monthly Civic Design Review meeting, two of the three projects were given the green light by the committee, while another student housing development was asked to make some changes and return for a second presentation at the end of the month. A two-tower project by PMC Property Group proposed for one of the last-remaining developable sites along the Schuylkill River was one of the two projects that concluded their Civic Design Review process. However, this was the project’s second time presenting to the committee, and so the process would have concluded anyway, regardless of the outcome.At last month’s initial presentation, the Civic Design Review committee called the design proposal a “bitter pill to swallow,” critiquing the project’s lack of integration with surrounding neighborhood and Schuylkill River Trail. At the same time, they praised Gensler’s designs. In total, the committee had 18 recommendations and concerns about the project, including the above-ground podium parking. Of the 18 suggestions, two were addressed in the revised design proposal: The bike path leading to the Schuylkill River Trail was widened and a brick facade along Arch Street was replaced with shopfront glazing to match the lobby’s facade. Much to the committee’s disappointment, a Gensler architect was not present at Tuesday’s second presentation. The developer believed that revised design proposal “spoke for itself.” A representative for PMC said that they plan to continue workshopping the design with the Logan Square Neighborhood Association. Dubbed New Market West, this design proposal calls for a 145,019-square-foot mixed-use development at what’s currently a parking lot, vacant rowhomes, and unused gas station at the foot of the Market-Frankford El. The Mission First Housing, transit-oriented development would bring a five-story building with commercial space in the first phase and 35 low-income housing units in the second phase. It also calls for 80 parking spaces in an underground garage, a public promenade, and a roof park, similar to Cira Green in University City. The committee praised the project overall and voted to conclude the CDR process for the $13.5 million project. “It’s great to see a project that has ground-floor retail, underground parking, and a third-party LEED certification,” said chair and architect Nancy Rogo-Trainer. “And it’s nice to see that [these projects] can be done and that development groups are willing to invest in them.” The committee also considered a proposal to build a six-story prefab apartment building at 4125 Chestnut Street, which is currently home to a carwash and a parking lot. The site, which is zoned CMX-4, would allow for a much taller building (a 17-story tower was originally proposed), but the proposal instead calls for a mid-rise with ground-floor retail, 130 apartments, and underground parking with 27 spaces. In addition, there will be a roof deck with a dog run and three or four parklets on each corner of the building. The committee voted to continue the CDR process to allow the design team to address some major concerns, like the one elevator for 130 units. The developer and designer will have a quick turn-around—the next CDR meeting is scheduled for November 28. "
15 condos coming to tiny Graduate Hospital block,https://philly.curbed.com/2017/11/7/16617836/graduate-hospital-homes-for-sale-ravello-philly,article,"By the end of this year, a small side street in Graduate Hospital will look mighty different, with a new condo project currently under construction to replace a series of two-story rowhomes.  Ravello Philly is the latest Graduate Hospital project of developers Noah Ostroff, Michael Murray, and Harvey Ostroff. It will bring 15 luxury condos to the tiny side street of 1430-38 Clymer Street, which is just a block from Broad Street. Six rowhomes were razed to make way for the development. “This was a unique opportunity for us to buy up most of the block in one of the hottest neighborhoods in Philadelphia,” Ostroff said in an e-mail to Curbed Philly. Ostroff’s team is also behind the ongoing project at nearby 17th and Bainbridge, which will bring 16 condos to the former site of New Light Beulah Baptist Church. The development will include five three-unit buildings with dark brick facades in front and aluminum paneling in the back. In total, there will be 10 three-bedroom, bi-level units clocking in at about 1,800 square feet. There will be another five one-bedroom units about half that size. Each unit will have outdoor space, too. Expect finishes and features like Nest thermostats, hardwood floors, Shaker cabinetry, and big soaking tubs. Ostroff says the asking prices are still being finalized, but project should be finished by the end of the year. Stay tuned. "
Phillys new online Atlas tool compiles all property data into one place,https://philly.curbed.com/2017/11/7/16617296/philadelphia-properties-land-vacant-lot-atlas-map-tool,article,"Searching for homes and vacant lots in Philly is about to get a whole lot easier with the launch of Atlas, a new online mapping tool that pools nearly every bit of information about one property into one place. It’s a big and helpful step for the city’s open data initiative and everyday users who run the gamut from developers to historic preservationists “to anyone in community groups who want to understand what’s happening in their neighborhoods,” says Mark Wheeler, Philadelphia's chief geographic information officer and deputy CIO for Enterprise Data and Architecture. Until now, this process hasn’t been easy for folks wanting to look up a property’s zoning appeals, crime statistics, or deed information. Says Wheeler, “Depending on the question you’re asking related to what’s happening at an address, you could use six apps, you could use up to a dozen applications.”Atlas now compiles everything one needs to know about a single address into one comprehensive database, including deed information, permits, 311 data, crime statistics, zoning appeals, and the registered community organization (RCO) that’s associated with that property. It also includes historic imagery of the site, dating as far back as 1860. Atlas is the brainchild of the Office of Innovation and Technology, a city department that has been leading efforts to promote Philly’s open data and Smart City initiatives. Creating this tool first made the most sense to the city, since research shows that approximately 90 percent of city data has a location component, says Wheeler. Plus, the office found that a majority of users come to city websites looking for property data. In 2014, the department started realizing that the city could use an all-in-one-tool, and the Atlas team spent the last year creating the tool. Furthermore, it’s designed as a framework that any city department will be able to use on their own site. CleanPHL.org, for example, has already adopted the tool on its on site. The property data will be updated as regularly as possible, says Wheeler, though it could range anywhere from two days to a week depending on what city department is responsible for the data. 311 information would likely be updated more instantly than, say, property sales. Atlas officially launches next week at the website atlas.phila.gov. On Tuesday, November 14 there will be an open house at the Municipal Services Building (1401 John F. Kennedy Boulevard) from 5 to 7 p.m., where the public can learn how to use the online tool."
Sneak Peek: Inside and above the 34-story Alexander tower,https://philly.curbed.com/2017/11/6/16598886/alexander-apartments-philadelphia-photos,article,"For the past two years, the 34-story Alexander tower, designed by Robert A.M. Stern Architects (RAMSA) and BLT Architects, has been on the rise at 1601 Vine Street. When it finally opens in late January 2018, it will be the tallest residential building in Logan Square, packed with apartments, amenities, and a 12,000-square-foot daycare on the ground floor.But the panoramic views are what really make the tower stand out—and there is no shortage of terraces to take advantage of them. The Alexander, named after the famed local sculptor Alexander Calder who created the William Penn statue atop City Hill, broke ground in 2015 and has been on the rise ever since, through the completion of the Mormon Temple across the street. Property Reserve, Inc. (PRI), a subsidiary of the Church Of Jesus Christ Of Latter-Day Saints, is the owner of the Alexander. To be clear, the 483,000-square-foot tower is still very much a construction zone. But on a recent tour of the property, work was moving along at a fast clip in preparation of the January 22 deadline. Unlike other developments, where residents often tend to move in amid construction, all 277 units at the Alexander will be finished and ready for occupancy by January. The nearly 300 units are a mix of apartments and townhouses—both rentals. There are studios, one-bedroom, two-bedroom apartments ranging from $1,675 to $5,920 a month. Meanwhile, the 13 townhomes range from $3,620 for a three-bedroom to $5,900 for a four-bedroom. Each have private entries, one off Vine Street and another from the three-story underground parking garage.  “Variety is all over this place,” says construction project manager Craig Homer, who has overseen the buildout of the Alexander’s 51 different floor plans. Leasing only just started, and five apartments had been rented at the time of publication. The townhouses in particular seem to have attracted empty nesters and families, says community manager Tracy Keyser.“We’re getting a little bit of everybody. But with these townhomes, it’s really been empty nesters who are selling their big homes in the suburbs and moving into the city,” says Keyser. “They come in and they say, ‘We just want to live care-free in retirement.’” That shouldn’t be a problem. Like most new developments going up throughout Philly, the Alexander comes with a long list of amenities. There’s the amenity level on the second floor with an outdoor terrace with built-in grills and an indoor lap pool. The gym is on this level, too, with 20-plus-foot-tall ceilings. There are 300 parking spaces in the three-story parking garage—more than enough for each unit—and bike storage spaces on every level, too. And, because no apartment tower is complete these days without pet amenities, says Keyser, there will be dog wash on site, too. Perhaps what sets the Alexander apart from other high-rises, though, is its plethora of private outdoor space. Nearly all of the townhouses and more than half of the apartments in the tower have either back patios, balconies, or wrap-around terraces. The crème de la crème of all of the apartments can be found on the 32nd floor, where there are four penthouse units, each with a private terrace. A corner unit on this floor features large windows—even the soaking tub in the master bathrooms has views of Logan Square far down below. That unit comes with a hefty rental price tag: $5,185 a month. Still, the views aren’t only reserved for future penthouse dwellers. On the very top of the building on the 34th floor, there will be an observation deck available to all residents. “We’re isolated from downtown, not trapped in our views,” says Homer. The Alexander is leasing now and scheduled to open in late January. "
$600M Live! Casino and Hotel Philadelphia to start construction in 2018,https://philly.curbed.com/2017/11/3/16602166/south-philly-casino-construction-date-2018,article,"A casino and hotel project that’s long been in the works has cleared its latest legal hurdle, meaning the project could begin construction in South Philly as early as next year. Live! Casino and Hotel Philadelphia, proposed for South Philly near all of the stadiums, is partially owned by Watche ""Bob"" Manoukian, who also owns a casino in Bensalem. But until Thursday, Pennsylvania had an ownership restriction on casinos that prohibited owners from having stake in more than one casino.Local would-be competitor SugarHouse Casino had filed an appeal against Live! Casino and Hotel Philadelphia, challenging the ownership. But on Thursday, Governor Tom Wolf repealed the 2004 ownership restriction, thereby making SugarHouse’s appeal moot. SugarHouse then dropped its appeal. With the repeal, investor David S. Cordish, chairman and CEO of Cordish Cos. of Baltimore, told the Inquirer that construction on the $600 million casino and hotel will begin in 2018. If all goes to plan, Live! Casino and Hotel Philadelphia should open its doors in 2020. The casino calls for 2,000 slot machines and 125 game tables, while the hotel will have 200-plus rooms. There will also be a 2,600-square-foot parking garage attached to the project. It’s touting itself as, “the first comprehensive gaming, resort, entertainment and sports destination in the United States.” "
Bohlin Cywinski Jackson to design another Penn college house,https://philly.curbed.com/2017/11/3/16598996/university-of-pennsylvania-new-college-house-west,article,"Fresh off its completion of the New College House, Bohlin Cywinski Jackson will design the next dorm for Penn’s campus, New College House West. Penn announced Thursday that the university’s board of trustees has approved the design firm’s plans for a $163 million college house at 40th Street, Walnut Street, and Locust Walk. It will be adjacent to the West Philadelphia branch of the Free Library. Penn president Amy Gutman said New College House West will serve as a western gateway to the campus, as well as help house more students on campus. “New College House West will enable more Penn students to participate in the College House system, and it will also give us the capacity and flexibility to continue renovating existing student housing.”Penn’s college house system is unique in that it houses both undergrads, graduate students, and faculty in one community. It currently has 12 college houses, with the New College House being its most recent project built from the ground up. The university also reopened this fall the Hill College House, designed by Eero Saarinen, after it underwent a $80 million renovation. Bohlin Cywinski Jackson’s design harkens to its New College House, and it will also aim for LEED Silver certification. The 250,000-square-foot building will feature a north tower on Walnut, with two shorter wings to the east and west of it that reach Locust Walk.The New College House West will be a three-year college house with 450 beds for sophomores, juniors, and seniors. There will be six- and five-bedroom, two-bath suites, and four-, three-, and two-bedroom, one-bath suites. And like the other college houses, there will be collaborative spaces like study rooms, lounges, and music rooms.  The goal is to break ground in spring 2018 and open in fall 2021. "
Report: More than 400 human skeletons unearthed at Old City construction site,https://philly.curbed.com/2017/10/31/16580362/old-city-graveyard-coffins-218-arch-street,article,"Last March, construction at 218 Arch Street in Old City came to a startling halt when multiple coffins were unearthed at the site. It was estimated that there were potentially dozens more buried deep below. Try hundreds. A new, official report says that bones from 407 human skeletons from the 19th century have been found at the construction site. That includes 328 people and 79 graves, according to the Inquirer. The report was filed by AECOM last week to Orphans Court, which has jurisdiction over abandoned graveyards. The officially tally comes about a year after developer PMC Property Group first discovered human remains at the site, which turned out to be part of the First Baptist Church Burial Ground, established in 1707 as one of the first cemeteries in the city.Although PMC alerted various city departments about the bones, each agency said it lacked jurisdiction in this particular matter, so construction simply continued. But construction workers kept unearthing more bones, so in March the developer called in archeological experts who started transporting the remains to Rutgers-Camden for study. Orphans Court then got involved. After study, preservation, and potential identification, the human remains will be reinterred at Mt. Moriah Cemetery, no later than August 2020. 218 Arch Street was most recently a surface parking lot and shares the street with Little Boy’s Court, one of the oldest cobblestone streets in the city. PMC plans to build a 10-story, 180,000-square-foot apartment building with 116 residential units."
Demo permits filed as Wills Eye Hospital eyes expansion,https://philly.curbed.com/2017/10/26/16547238/wills-eye-hospital-expansion-philadelphia,article,"Wills Eye Hospital in Washington Square West is moving forward with plans to expand its campus, starting with the planned demolition of two structures on the corner of S. 9th and Locust. “Wills Eye Hospital has been in discussion for several months with representatives from the City about the condition of two non-historic structures, 229 and 231 S. Ninth Street,” hospital spokesperson Cathy Moss told Curbed Philly. “Following these discussions, we have concluded that in the interest of public safety, it is necessary to demolish these two structures.” The two buildings are not registered historic, although they are located next to a series of other rowhomes that are on the Philadelphia Register of Historic Places. Moss said the hospital has filed a request for demolition permits with the city’s Department of Licenses and Inspections (L&I) and are awaiting approval. A newsletter sent out this week by the Washington Square West Civic Association said, “Present thinking is a new tower on the east side of 9th Street, adjacent to the current hospital and garage, possibly extending to Locust Street.”However, Moss said the hospital hasn’t made any final decisions about future development on the site, though it is clear that it will be a new research and medical-care facility. Said Moss, “There remains a critical need to expand the hospital’s facilities so that we can continue to provide world-class care to our patients.” "
"Philadelphia 2030 District launches to cut energy use, transportation emissions by half",https://philly.curbed.com/2017/10/26/16552444/philadelphia-2030-district-launch-energy-transportation-reduction,article,"In Philly’s latest move to combat climate change, it has announced the launch of the Philadelphia 2030 District. It’s a voluntary private initiative spearheaded by the Delaware Valley Green Building Council that brings together property owners, managers, utility companies, and community organizations who want to stem the effects of global warming. How so? By pledging to reduce their energy and water use and transportation emissions by 50 percent by the year 2030.  “Really, this impacts everyone because unless we can get a handle on carbon emissions, and seriously reduce them, climate change is going to have an impact on the whole city and the world,” said Alex Dews, executive director of the DVGBC. The district is currently limited to University City and Center City, where there is a large concentration of buildings that tend to be the biggest energy consumers in the city, although Dews says there are plans to expand the area down the road. The average commercial building in Philly wastes 30 percent of its energy, while 60 percent of carbon emissions are produced by the building sector.“The reason we’re focused on the largest buildings is because they’re by far the largest energy users,” says Dews, “and small changes in large buildings yield really big results.” Some organizations including SEPTA and Drexel, as well as the City of Philadelphia, have already signed onto the 2030 commitment. Developer Brandywine Realty Trust also committed to the pledge early on; a number of its new buildings, including the FMC Tower and Cira Centre fall within the district and include not just commercial developments, but also residential properties. Each year, the DVGBC will release an annual progress report to see if companies and organizations are meeting their pledged goals. Philly is now among 18 cities in the country to commit to this national initiative known as Architecture 2030, with 15 million square feet committed to the pledge. Dews hopes that number expands now that the program has officially launched; there is a total of 120 million square feet of properties within the district that could commit to the pledge, he says. The commitment of private organizations and companies to energy reduction is the latest in a series of recent city efforts to combat climate change. Last month, the city released its own Philadelphia Municipal Energy Master Plan, a multi-step roadmap to reduce energy use and clean the city’s energy supply. It also has a goal to reduce greenhouse gas emissions from the city’s buildings in half by 2030. Earlier this summer, Kenney signed onto the Mayors for 100% Clean Energy effort spearheaded by the Sierra Club. The commitment for Philly to transition to 100 percent renewable energy came on the heels of the White House’s move to reject the Paris climate accord.Of the Philadelphia 2030 District, Kenney said, “We’re really happy to be a part of this effort. With the federal government abdicating responsibility to a sustainable planet and denying climate change, we as cities need to lead.” "
